,bts_id,lat,lon,comuna
191,SPAAM,-33.4347,-70.6569,SANTIAGO
192,TABC1,-33.3837,-70.5332,LAS CONDES
193,EGAC1,-33.4611,-70.5715,PEÑALOLÉN
194,PCENT,-33.5668,-70.7883,PADRE HURTADO
195,JDCEF,-33.4584,-70.5997,ÑUÑOA
196,BEAUF,-33.4708,-70.6646,SANTIAGO
197,EULSA,-33.4406,-70.6353,SANTIAGO
198,PHSUF,-33.5773,-70.8237,PADRE HURTADO
199,CAFAF,-33.5198,-70.7412,MAIPÚ
200,PLMOF,-33.6488,-70.6675,SAN BERNARDO
201,MORRF,-33.5896,-70.6802,SAN BERNARDO
202,JORBE,-33.4561,-70.5821,ÑUÑOA
203,CSTG1,-33.54,-70.6657,LA CISTERNA
204,GOYEN,-33.4236,-70.5958,PROVIDENCIA
205,ABZC2,-33.544000000000004,-70.7779,MAIPÚ
206,ASURA,-33.525,-70.7721,MAIPÚ
207,PQDEF,-33.5683,-70.553,PUENTE ALTO
208,PQSAF,-33.6477,-70.6032,PIRQUE
209,POMAC,-33.6518,-71.1532,MELIPILLA
210,JJPG1,-33.4319,-70.7417,PUDAHUEL
211,TPLG1,-33.5258,-70.7614,MAIPÚ
212,BRSC1,-33.434,-70.6773,SANTIAGO
213,SIBC1,-33.4483,-70.6338,SANTIAGO
214,ARRIF,-33.4629,-70.5509,PEÑALOLÉN
215,COPER,-33.5531,-70.5625,PUENTE ALTO
216,DHCPF,-33.3415,-70.4993,LO BARNECHEA
217,MAZUF,-33.5102,-70.5955,LA FLORIDA
218,OCMAM,-33.4407,-70.615,PROVIDENCIA
219,CARCA,-33.4201,-70.7095,QUINTA NORMAL
220,COLIN,-33.1976,-70.6762,COLINA
221,CARCU,-33.446,-70.6428,SANTIAGO
222,ESCBE,-33.3883,-70.5955,VITACURA
223,LASPU,-33.4661,-70.5991,ÑUÑOA
224,LCASF,-33.4002,-70.5918,VITACURA
225,CAPG1,-33.4104,-70.5715,LAS CONDES
226,EMONU,-33.507,-70.605,MACUL
227,CURZF,-33.4419,-70.53399999999999,LA REINA
228,CSPG1,-33.3831,-70.586,VITACURA
229,CMELF,-33.5377,-70.7696,MAIPÚ
230,COBRE,-33.3864,-70.5674,VITACURA
231,LCFLO,-33.3717,-70.5117,LAS CONDES
232,CSANF,-33.5632,-70.6031,LA FLORIDA
233,AANAU,-33.5782,-70.7742,CALERA DE TANGO
234,ALVIF,-33.5341,-70.6561,LA CISTERNA
235,CREJF,-33.4583,-70.7068,ESTACIÓN CENTRAL
236,CCVC2,-33.3967,-71.1421,CURACAVÍ
237,AGRC1,-33.4336,-70.8353,PUDAHUEL
238,DPTC2,-33.5022,-70.665,SAN MIGUEL
239,ELALF,-33.4024,-70.5155,LAS CONDES
240,EFEC1,-33.5153,-70.687,LO ESPEJO
241,ISLRT,-33.6985,-70.8916,TALAGANTE
242,OLPOF,-33.5118,-70.7771,MAIPÚ
243,GIMNF,-33.5028,-70.7425,MAIPÚ
244,ISLOC,-33.7378,-70.8636,ISLA DE MAIPO
245,ACYF2,-33.2462,-70.6986,COLINA
246,ESDEC,-33.3868,-70.6665,CONCHALÍ
247,DHSG1,-33.3691,-70.5318,LO BARNECHEA
248,ACUF2,-33.8801,-70.8895,PAINE
249,EMULC,-33.4105,-70.536,LAS CONDES
250,MLGAF,-33.4156,-70.5834,LAS CONDES
251,SBARF,-33.4617,-70.6458,SANTIAGO
252,CRISF,-33.4248,-70.5951,PROVIDENCIA
253,MAGAF,-33.5484,-70.5771,LA FLORIDA
254,4CENF,-33.4151,-70.562,LAS CONDES
255,QIMF2,-33.3603,-70.497,LO BARNECHEA
256,RAMOT,-33.3916,-70.6516,RECOLETA
257,PSNC2,-33.3346,-70.7198,QUILICURA
258,PATC1,-33.4287,-70.6428,RECOLETA
259,SULCI,-33.5401,-70.666,LA CISTERNA
260,PPLG1,-33.4438,-70.658,SANTIAGO
261,RPBF2,-33.4512,-70.666,SANTIAGO
262,JP2EF,-33.2759,-70.6169,COLINA
263,SLCG1,-33.4394,-70.6471,SANTIAGO
264,ALLOF,-33.5148,-70.7673,MAIPÚ
265,SMARF,-33.2775,-70.5438,LO BARNECHEA
266,SVYC2,-33.4951,-70.609,MACUL
267,TEAC1,-33.441,-70.6546,SANTIAGO
268,UAIBF,-33.4804,-70.5164,PEÑALOLÉN
269,CIRCO,-33.2744,-70.7468,LAMPA
270,CLORF,-33.4518,-70.558,LA REINA
271,MELI4,-33.6933,-71.2078,MELIPILLA
272,CCA5A,-33.418,-70.6059,PROVIDENCIA
273,ESTEF,-33.3548,-70.7059,QUILICURA
274,DBZAF,-33.4285,-70.6494,RECOLETA
275,LTDAF,-33.4303,-70.5553,LAS CONDES
276,CCA1C,-33.418,-70.6059,PROVIDENCIA
277,ECAC2,-33.5247,-70.7877,MAIPÚ
278,CCY1C,-33.418,-70.6059,PROVIDENCIA
279,ASBXF,-33.4653,-70.6875,ESTACIÓN CENTRAL
280,SOTC1,-33.5832,-70.5946,PUENTE ALTO
281,UTORF,-33.4694,-70.7288,ESTACIÓN CENTRAL
282,PRATF,-33.4445,-70.6519,SANTIAGO
283,MRNC1,-33.4917,-70.672,PEDRO AGUIRRE CERDA
284,CVECM,-33.5391,-70.7905,MAIPÚ
