,bts_id,lat,lon
438,L1022,-33.4482,-70.6691
439,L1027,-33.4512,-70.6786
440,L1014,-33.4091,-70.5679
441,SAVLE,-33.3258,-70.5439
442,HLAM1,-33.3186,-70.7329
443,MALAR,-33.5938,-70.6016
444,BRAVO,-33.4337,-70.6741
445,APERR,-33.4151,-70.6393
446,PRESS,-33.5347,-70.6708
447,SAPAM,-33.4346,-70.6672
448,ALHUE,-34.0268,-71.1017
449,PCOUF,-33.4992,-70.5692
450,PNRF2,-33.4233,-70.6099
451,GUAKA,-33.3789,-70.6585
452,ALEJS,-33.4726,-70.5635
453,AYRCH,-33.2017,-70.6548
454,LPRFE,-33.2806,-70.6353
455,ERHB1,-33.4872,-70.7258
456,BOLIT,-33.4473,-70.5639
457,CARRF,-33.4195,-70.6626
458,FISAB,-33.5355,-70.7447
459,MVICF,-33.4603,-70.6293
460,RGRCF,-33.4709,-70.5782
461,VESCF,-33.3379,-70.4925
462,L3VF1,-33.4555,-70.5975
463,L3HO1,-33.4516,-70.6502
464,L3VI1,-33.3974,-70.6695
465,TLUCO,-33.482,-70.6498
466,TSTGB,-33.4542,-70.6886
467,MERCD,-33.4381,-70.6458
468,CLIBI,-33.4569,-70.7012
469,HIPCL,-33.4049,-70.6684
470,ESPEF,-33.3683,-70.6623
471,HURFF,-33.4395,-70.6512
472,IRZG1,-33.4556,-70.5931
473,ISIC1,-33.414,-70.6003
474,PZCHF,-33.4081,-70.6595
475,JCASF,-33.4241,-70.6908
476,EYRRE,-33.6094,-70.5543
477,JUDF2,-33.5107,-70.6083
478,L4RMF,-33.5361,-70.5928
479,LALG1,-33.3711,-70.4814
480,LARAN,-33.8905,-71.4214
481,LARIN,-33.5156,-70.8266
482,LAVIF,-33.5251,-70.6271
483,LAZIF,-33.4534,-70.7913
484,LBANF,-33.5521,-70.6503
485,LBLG1,-33.6257,-70.6758
486,APARF,-33.4906,-70.7249
487,CONCH,-33.3826,-70.6871
488,CRENF,-33.4125,-70.6874
489,DGARF,-33.5652,-70.6726
490,SENDF,-33.5482,-70.6294
491,TALAU,-33.6907,-70.953
492,TGCC1,-33.6641,-70.926
493,GUANF,-33.3757,-70.6636
494,PDCOF,-33.3704,-70.6902
495,LDALF,-33.4338,-70.5972
496,DILAC,-33.4774,-70.5252
497,LFLAF,-33.3429,-70.5451
498,LIRF2,-33.4541,-70.6415
499,LOHER,-33.5977,-70.7712
500,LPUAF,-33.5999,-70.5749
501,LUISG,-33.4966,-70.7512
502,MACOF,-33.3576,-70.7403
503,MONPL,-33.4443,-70.6546
504,CERVF,-33.4353,-70.65
505,PAIG1,-33.811,-70.7426
506,LIROF,-33.7787,-70.6961
507,CVALL,-33.4493,-70.8575
508,ABELF,-33.424,-70.6182
509,ACACF,-33.5266,-70.5915
510,ALBAC,-33.3071,-70.6723
511,ALOC1,-33.4188,-70.5641
512,BALG1,-33.6072,-70.5455
513,BMUCF,-33.4325,-70.6687
514,BOTC2,-33.5076,-70.5682
515,CCASN,-33.4921,-70.6174
516,CCHC1,-33.3928,-70.6728
517,CESCR,-33.4335,-70.653
518,CNSC1,-33.522,-70.5802
519,CONSF,-33.4678,-70.5398
520,CVTRF,-33.4414,-70.5853
521,DSCG1,-33.4629,-70.7649
522,EASYQ,-33.4779,-70.579
523,EDSOF,-33.4702,-70.7489
524,ENEBR,-33.5944,-70.5839
525,EOLIF,-33.3983,-70.6865
526,EPOC2,-33.3967,-70.5879
527,ERRAF,-33.4977,-70.7223
528,ESRCF,-33.4094,-70.604
529,FRATO,-33.4365,-70.7278
530,GALAF,-33.4482,-70.693
531,GMIC1,-33.5587,-70.565
532,ELOJE,-33.4258,-70.5997
533,FOTF2,-33.426,-70.6123
534,PLABA,-33.5412,-70.6434
535,VOLAR,-33.3657,-70.7385
536,MOCF2,-33.4375,-70.6541
537,PRIMA,-33.6016,-70.6233
538,PUAC1,-33.6063,-70.577
539,RAMC1,-33.5544,-70.6325
540,RECC1,-33.4061,-70.6442
541,REIG1,-33.4468,-70.5527
542,RJMC1,-33.5396,-70.5757
543,RUOVF,-33.5114,-70.6702
544,SACRF,-33.6025,-70.6689
545,SJESF,-33.5465,-70.6032
546,SJNF2,-33.5829,-70.4426
547,SRSC1,-33.516,-70.6395
548,BUSIS,-33.4456,-70.6305
549,SVEST,-33.4368,-70.7536
550,TINOF,-33.3879,-70.5435
551,VDNOF,-33.486999999999995,-70.6195
552,VTAND,-33.3806,-70.5419
553,NLYON,-33.4214,-70.6125
554,VCHIC,-33.4314,-70.65
555,CLCP2,-33.3854,-70.5295
556,COSNC,-33.4259,-70.6327
557,EDNUA,-33.5076,-70.6586
558,CTDLF,-33.4372,-70.6522
559,HCHMU,-33.5143,-70.565
560,BAHF2,-33.4403,-70.6522
561,HUARA,-33.4284,-70.5594
562,GENER,-33.4594,-70.6102
563,HSFR1,-33.3754,-70.5419
564,MCALF,-33.3918,-70.57300000000001
565,HCVAL,-33.4593,-70.8423
566,HLAMO,-33.3187,-70.733
567,MEPDV,-33.4254,-70.6145
568,AGSC1,-33.4469,-70.6751
569,HBSIL,-33.45,-70.6565
570,MCSNF,-33.4383,-70.6484
571,INDC1,-33.4213,-70.6532
572,TLILA,-33.426,-70.5921
573,DELOI,-33.4053,-70.572
574,MTBLF,-33.5702,-70.5569
575,CAJG1,-33.6322,-70.3343
576,AMEXF,-33.5652,-70.5677
577,LECHE,-33.6344,-70.6097
578,VPAI2,-33.8094,-70.8607
579,MECOL,-33.4262,-70.59100000000001
580,MELOR,-33.4625,-70.5738
581,GENOL,-33.4305,-70.6906
582,MEPRI,-33.4392,-70.5731
583,MEPUE,-33.6098,-70.5755
584,PNOG1,-33.2871,-70.7312
585,FBMOI,-33.4419,-70.6501
586,APUF2,-33.4099,-70.5675
587,PUSF2,-33.4363,-70.6513
588,MATTA,-33.4549,-70.6266
589,VESR5,-33.369,-70.7006
590,COBAF,-33.4385,-70.6524
591,MEIGF,-33.4521,-70.6768
592,LMIR3,-33.6259,-70.7028
593,PAI18,-33.8029,-70.7063
594,C68CB,-33.4325,-71.0286
595,IGNAC,-33.5277,-70.7969
596,LLELO,-33.4223,-70.6054
597,SANT5,-33.5322,-70.6031
598,MANUA,-33.5427,-70.5955
599,PETEO,-33.6115,-70.9014
600,HAP10,-33.4045,-70.5748
601,HAP11,-33.4061,-70.5707
602,MAPLI,-33.3648,-70.6783
603,MAPLA,-33.3659,-70.6784
604,KPRIV,-33.3893,-70.5874
605,IRAPA,-33.6064,-70.5692
606,SSRIE,-33.413000000000004,-70.6001
607,LATRA,-33.4543,-70.7582
608,MEDEP,-33.5032,-70.655
609,HCRC1,-33.3846,-70.6399
610,CEMPR,-33.3894,-70.6109
611,MPEGA,-33.4524,-70.5695
612,MEVES,-33.3809,-70.6459
613,PIODI,-33.4334,-70.6356
614,VIETE,-33.387,-70.5645
615,STATE,-33.5432,-70.5714
616,HUEES,-33.4394,-70.6494
617,RIVSF,-33.4821,-70.6351
618,MPLDO,-33.3549,-70.5174
619,CAN13,-33.4275,-70.6273
620,CQUEF,-33.3639,-70.3509
621,11SEP,-33.4223,-70.6111
622,BARRO,-33.4306,-70.6179
623,HUELE,-33.4233,-70.7399
624,MBOM5,-33.493,-70.5878
625,MDUA1,-33.4594,-70.5716
626,MINOO,-33.436,-70.6303
627,PAINE,-33.8031,-70.7556
628,RVICT,-33.5009,-70.6874
629,MACHO,-33.4258,-70.7184
630,PTIB1,-33.4134,-70.6062
631,FLAVA,-33.4257,-70.5813
632,ROARA,-33.4751,-70.6067
633,PESSJ,-33.6267,-70.8447
634,EOBRA,-33.6274,-70.612
635,MPVSF,-33.5178,-70.5984
636,CBARB,-33.4718,-71.0138
